iter	Logloss	Accuracy
0	0.6861981847	0.8386783285
1	0.6801814234	0.8299319728
2	0.6727415734	0.8309037901
3	0.6660043283	0.8328474247
4	0.6592220226	0.8309037901
5	0.6522749012	0.8347910593
6	0.6452416502	0.8406219631
7	0.6389853248	0.8406219631
8	0.6332997811	0.843537415
9	0.6274537073	0.8425655977
10	0.6218137885	0.8425655977
11	0.6159807788	0.8445092323
12	0.6093042538	0.8445092323
13	0.6045113738	0.8445092323
14	0.5991085687	0.8425655977
15	0.5938082147	0.843537415
16	0.5892013916	0.8425655977
17	0.5843645481	0.8415937804
18	0.580236354	0.8406219631
19	0.5752867544	0.8445092323
20	0.5712938462	0.843537415
21	0.5663143057	0.8425655977
22	0.562022814	0.843537415
23	0.5578633306	0.8425655977
24	0.5526615373	0.843537415
25	0.5484727993	0.8406219631
26	0.5440673832	0.8406219631
27	0.5399524762	0.8415937804
28	0.53635587	0.8406219631
29	0.531961988	0.843537415
30	0.5278828956	0.8454810496
31	0.5241189035	0.8474246842
32	0.5204615587	0.8464528669
33	0.516330923	0.8474246842
34	0.5128150847	0.8474246842
35	0.509205251	0.8483965015
36	0.5059513752	0.8503401361
37	0.5025942866	0.8522837707
38	0.4991979136	0.8513119534
39	0.4964029765	0.8503401361
40	0.4938474448	0.8513119534
41	0.4906028676	0.8503401361
42	0.4880292553	0.8503401361
43	0.4850040033	0.8503401361
44	0.482429334	0.8503401361
45	0.479992568	0.8493683188
46	0.4771235089	0.8483965015
47	0.4741801086	0.8483965015
48	0.4717755812	0.8493683188
49	0.4689120775	0.8503401361
50	0.4669983532	0.8483965015
51	0.4644012477	0.8513119534
52	0.4617914503	0.8513119534
53	0.4596808909	0.8513119534
54	0.4575525146	0.8503401361
55	0.4550227414	0.8503401361
56	0.4526988287	0.8513119534
57	0.4504827831	0.8513119534
58	0.4491498482	0.8513119534
59	0.4469809548	0.8513119534
60	0.4448258898	0.8513119534
61	0.4424663303	0.8513119534
62	0.440377965	0.8522837707
63	0.4388908244	0.8522837707
64	0.436463882	0.8513119534
65	0.4348413138	0.8532555879
66	0.4325540751	0.8542274052
67	0.4306073757	0.8542274052
68	0.4287297417	0.8542274052
69	0.4270409681	0.8532555879
70	0.4250409988	0.8532555879
71	0.4227822715	0.8532555879
72	0.4208379219	0.8532555879
73	0.4186904741	0.8532555879
74	0.4168294168	0.8532555879
75	0.4152514492	0.8522837707
76	0.4138181749	0.8542274052
77	0.4122150814	0.8532555879
78	0.4106774633	0.8522837707
79	0.409212539	0.8532555879
80	0.407775413	0.8513119534
81	0.4060103975	0.8542274052
82	0.404758822	0.8542274052
83	0.4030244842	0.8551992225
84	0.4014794579	0.8561710398
85	0.3997926277	0.8561710398
86	0.3987315551	0.8561710398
87	0.3974069085	0.8551992225
88	0.3961367765	0.8561710398
89	0.3948899937	0.8561710398
90	0.393127537	0.8571428571
91	0.3917202984	0.8571428571
92	0.3902224541	0.8571428571
93	0.3887952958	0.8571428571
94	0.3874953419	0.8571428571
95	0.3860910835	0.8571428571
96	0.384900725	0.8561710398
97	0.3839094489	0.8561710398
98	0.3826695382	0.8561710398
99	0.3816908186	0.8561710398
100	0.3806905613	0.8571428571
101	0.3796601762	0.8571428571
102	0.378425552	0.8571428571
103	0.3776280322	0.8571428571
104	0.37609622	0.8571428571
105	0.3749068602	0.8561710398
106	0.373825132	0.8561710398
107	0.3729313852	0.8571428571
108	0.3718458313	0.8561710398
109	0.3705925952	0.8571428571
110	0.3697385197	0.8571428571
111	0.3682193768	0.8581146744
112	0.3674042344	0.8581146744
113	0.3662108965	0.8581146744
114	0.3656079115	0.8590864917
115	0.3644643258	0.8581146744
116	0.3635615016	0.8581146744
117	0.3627876932	0.8581146744
118	0.3615952566	0.8581146744
119	0.3609687753	0.8581146744
120	0.3602865903	0.8581146744
121	0.3597634603	0.8581146744
122	0.3589739091	0.8590864917
123	0.3580489127	0.860058309
124	0.3574649451	0.8590864917
125	0.3563610131	0.8610301263
126	0.3556416426	0.860058309
127	0.3547827324	0.860058309
128	0.3538806987	0.8610301263
129	0.3528348551	0.8610301263
130	0.3522359593	0.8610301263
131	0.3511916265	0.8610301263
132	0.3501763675	0.8610301263
133	0.3490513741	0.8610301263
134	0.348279834	0.8610301263
135	0.3476067899	0.8610301263
136	0.3469628787	0.8610301263
137	0.345825239	0.8610301263
138	0.3452372535	0.8610301263
139	0.3442049063	0.8620019436
140	0.3433588708	0.8620019436
141	0.3426420907	0.8620019436
142	0.3420820901	0.8620019436
143	0.3413046141	0.8620019436
144	0.3404263961	0.8620019436
145	0.3395899197	0.8620019436
146	0.3389547977	0.8620019436
147	0.338382101	0.8620019436
148	0.3378196501	0.8620019436
149	0.3369620571	0.8620019436
150	0.3365258672	0.8620019436
151	0.3359098307	0.8629737609
152	0.3352023918	0.8629737609
153	0.334530349	0.8620019436
154	0.3337841399	0.8639455782
155	0.3330398802	0.8629737609
156	0.3326332798	0.8629737609
157	0.3320319035	0.8639455782
158	0.3314347205	0.8639455782
159	0.3309403881	0.8639455782
160	0.3302838268	0.8639455782
161	0.3296657657	0.8639455782
162	0.3289486848	0.8639455782
163	0.3283228495	0.8639455782
164	0.3277730935	0.8649173955
165	0.3272552306	0.8649173955
166	0.3267049807	0.8649173955
167	0.3260636821	0.8649173955
168	0.3253564549	0.8649173955
169	0.324870193	0.8649173955
170	0.3241603722	0.8649173955
171	0.3235043767	0.8649173955
172	0.3229998701	0.8649173955
173	0.3224845311	0.8649173955
174	0.32194639	0.8649173955
175	0.3215389191	0.8658892128
176	0.321007485	0.8658892128
177	0.3202905697	0.8658892128
178	0.3196588007	0.8658892128
179	0.3190578764	0.8658892128
180	0.3186259007	0.8668610301
181	0.3183100098	0.8658892128
182	0.3177567228	0.8668610301
183	0.3171379621	0.8678328474
184	0.3164978371	0.8678328474
185	0.3158368573	0.8688046647
186	0.3153728612	0.8688046647
187	0.3146584488	0.8707482993
188	0.3140849136	0.8717201166
189	0.3135618853	0.8717201166
190	0.3130502101	0.8717201166
191	0.3127623894	0.8717201166
192	0.3121513838	0.8736637512
193	0.3117863058	0.8736637512
194	0.31110623	0.8736637512
195	0.31059404	0.8726919339
196	0.3101804859	0.8746355685
197	0.309587488	0.8726919339
198	0.3090959145	0.8736637512
199	0.3085911345	0.8736637512
200	0.3081694851	0.8746355685
