iter	Passed	Remaining
0	3	3135
1	5	2881
2	8	2792
3	10	2724
4	13	2745
5	16	2789
6	19	2750
7	21	2704
8	24	2680
9	26	2613
10	29	2640
11	32	2648
12	34	2632
13	37	2618
14	39	2606
15	42	2605
16	45	2614
17	48	2619
18	50	2607
19	53	2598
20	55	2593
21	58	2602
22	61	2609
23	64	2609
24	66	2602
25	69	2592
26	71	2591
27	74	2602
28	77	2600
29	80	2594
30	82	2588
31	85	2582
32	88	2581
33	91	2587
34	93	2588
35	96	2580
36	98	2574
37	101	2567
38	104	2567
39	106	2567
40	109	2559
41	111	2553
42	114	2550
43	117	2548
44	120	2550
45	123	2553
46	125	2551
47	128	2545
48	130	2540
49	133	2540
50	136	2543
51	139	2541
52	142	2537
53	144	2530
54	147	2527
55	150	2531
56	153	2535
57	155	2532
58	158	2527
59	161	2525
60	164	2534
61	167	2530
62	170	2528
63	173	2541
64	176	2545
65	181	2564
66	184	2568
67	187	2567
68	191	2578
69	195	2602
70	199	2613
71	202	2612
72	205	2614
73	208	2611
74	213	2632
75	216	2636
76	220	2637
77	222	2635
78	227	2654
79	230	2648
80	232	2641
81	235	2641
82	239	2641
83	242	2647
84	245	2642
85	248	2639
86	251	2636
87	253	2632
88	257	2633
89	260	2633
90	263	2633
91	267	2637
92	270	2636
93	273	2631
94	275	2625
95	278	2624
96	281	2623
97	284	2617
98	288	2621
99	291	2624
100	294	2623
101	297	2619
102	300	2613
103	303	2615
104	306	2612
105	309	2612
106	312	2607
107	315	2602
108	318	2607
109	322	2606
110	325	2607
111	328	2605
112	331	2602
113	334	2603
114	337	2596
115	340	2592
116	342	2587
117	347	2595
118	350	2593
119	353	2593
120	357	2594
121	359	2587
122	362	2585
123	366	2587
124	370	2596
125	373	2593
126	376	2591
127	380	2594
128	384	2595
129	387	2592
130	390	2589
131	393	2588
132	398	2597
133	402	2598
134	404	2594
135	408	2592
136	412	2599
137	415	2597
138	418	2592
139	421	2586
140	423	2580
141	427	2581
142	430	2578
143	432	2572
144	435	2567
145	437	2561
146	440	2558
147	444	2556
148	446	2551
149	449	2547
150	452	2541
151	454	2536
152	458	2536
153	460	2532
154	463	2527
155	466	2522
156	468	2517
157	472	2516
158	475	2515
159	478	2510
160	481	2506
161	483	2501
162	486	2497
163	489	2497
164	493	2495
165	496	2494
166	499	2491
167	504	2498
168	508	2498
169	511	2496
170	514	2492
171	517	2493
172	522	2498
173	525	2494
174	528	2490
175	531	2486
176	534	2486
177	537	2482
178	540	2478
179	543	2476
180	547	2478
181	550	2475
182	554	2476
183	558	2476
184	562	2476
185	565	2475
186	568	2471
187	571	2466
188	574	2463
189	576	2458
190	579	2456
191	582	2452
192	585	2448
193	588	2445
194	591	2441
195	594	2436
196	596	2432
197	599	2428
198	602	2424
199	605	2420
200	607	2414
201	610	2410
202	612	2406
203	615	2403
204	618	2399
205	621	2395
206	624	2390
207	627	2387
208	630	2384
209	633	2381
210	635	2377
211	638	2372
212	641	2369
213	644	2365
214	646	2361
215	649	2357
216	652	2352
217	654	2347
218	657	2343
219	660	2340
220	662	2336
221	665	2332
222	668	2328
223	670	2323
224	673	2319
225	676	2317
226	679	2313
227	681	2308
228	684	2304
229	686	2299
230	689	2296
231	692	2293
232	696	2292
233	699	2289
234	702	2285
235	705	2284
236	709	2283
237	712	2281
238	715	2278
239	718	2276
240	721	2273
241	724	2268
242	725	2260
243	728	2256
244	730	2251
245	733	2248
246	737	2247
247	739	2243
248	742	2239
249	745	2235
250	748	2232
251	751	2230
252	753	2226
253	756	2222
254	759	2219
255	762	2216
256	765	2214
257	768	2211
258	771	2207
259	774	2203
260	777	2200
261	779	2196
262	782	2193
263	789	2202
264	793	2199
265	795	2195
266	798	2192
267	801	2189
268	804	2186
269	807	2183
270	810	2179
271	813	2176
272	816	2173
273	818	2169
274	822	2168
275	826	2167
276	831	2169
277	834	2167
278	837	2165
279	841	2163
280	845	2164
281	849	2162
282	858	2174
283	863	2177
284	869	2181
285	873	2181
286	877	2180
287	881	2180
288	886	2179
289	889	2178
290	894	2178
291	898	2177
292	903	2181
293	907	2180
294	913	2182
295	919	2187
296	923	2185
297	927	2185
298	931	2183
299	935	2181
300	939	2181
301	945	2185
302	951	2187
303	955	2186
304	959	2186
305	963	2185
306	968	2185
307	973	2186
308	977	2185
309	980	2182
310	985	2182
311	991	2185
312	994	2182
313	998	2180
314	1003	2181
315	1006	2179
316	1010	2176
317	1013	2173
318	1015	2167
319	1018	2163
320	1020	2159
321	1023	2154
322	1026	2151
323	1029	2147
324	1033	2145
325	1037	2144
326	1040	2141
327	1044	2138
328	1046	2135
329	1050	2132
330	1053	2129
331	1058	2128
332	1061	2125
333	1064	2122
334	1067	2119
335	1070	2116
336	1073	2112
337	1076	2108
338	1080	2106
339	1083	2103
340	1086	2100
341	1089	2096
342	1092	2092
343	1095	2088
344	1098	2085
345	1101	2082
346	1104	2078
347	1107	2074
348	1109	2070
349	1112	2066
350	1115	2063
351	1118	2058
352	1120	2054
353	1123	2050
354	1126	2046
355	1129	2042
356	1132	2038
357	1134	2034
358	1137	2030
359	1139	2026
360	1142	2022
361	1145	2018
362	1148	2014
363	1150	2010
364	1153	2006
365	1155	2002
366	1158	1998
